trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
473,False,"{'a': 0.15, 'e': 0.007756924316168755}",25,12,25.37017277061803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.15, 'e': 0.007679355073007068}",25,16,16.028043630343504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.15, 'e': 0.0076025615222769976}",20,6,21.718251932147695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.15, 'e': 0.007526535907054228}",20,13,12.76679700693911,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.15, 'e': 0.007451270547983686}",20,0,32.1297401648762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.15, 'e': 0.007376757842503849}",20,11,18.58135589137484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.15, 'e': 0.0073029902640788106}",25,5,34.93720201231251,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.15, 'e': 0.007229960361438022}",20,16,7.477918853568487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.15, 'e': 0.007157660757823642}",20,11,14.117912135462127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.15, 'e': 0.007086084150245406}",20,11,15.913096469146737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.15, 'e': 0.0070152233087429515}",20,14,14.465976894365063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.15, 'e': 0.0069450710756555215}",25,20,10.22759866358588,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.15, 'e': 0.006875620364898966}",20,9,19.80449129587895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.15, 'e': 0.006806864161249976}",25,18,12.069709823096538,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.15, 'e': 0.006738795519637476}",25,18,14.110266845672705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.15, 'e': 0.006671407564441101}",20,6,25.598446104979676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.15, 'e': 0.006604693488796691}",25,8,29.383171891834316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.15, 'e': 0.006538646553908724}",30,18,21.11474459066624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
